"Date","Strain","sibling","allele","genotype","UV_dose","Suv_samples","Suv_ave","Suv_se","Rev_samples","Rev_ave","Rev_se","Rev_freq_raw","Rev_freq_se"
"221017","KNT-Op55-01","Op55","OGW1","wild-type",60,3,596.333333333333,13.9084306966834,3,3.33333333333333,0.333333333333333,5.58971492453885,0.573973472899142
"221017","KNT-Op55-01","Op55","OGW1","wild-type",90,3,605.333333333333,6.98410894658566,3,6.66666666666667,1.20185042515466,11.0132158590308,1.98949764359075
"221017","KNT-Op55-01","Op55","OGW1","wild-type",120,3,543.666666666667,24.6328597157898,3,11.3333333333333,3.84418753155693,20.8461066830166,7.13365790849964
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",0,3,514,15.8745078663875,3,0.333333333333333,0.333333333333333,0.648508430609598,0.648817642658761
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",60,3,462.333333333333,19.2035876277788,3,11.6666666666667,1.45296631451356,25.2343186733958,3.31285984580314
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",90,3,460.333333333333,22.1835775092998,3,17,0.577350269189626,36.9297610427227,2.17719735640581
"221017","KNT-Op55-25","Op55","OGW1","set-1 KO",120,3,388,16.5025250593154,3,24.3333333333333,4.33333333333333,62.7147766323024,11.4825022081178
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",0,3,592.333333333333,8.68587614719692,3,0,0,0,NA
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",60,3,627.333333333333,12.2519839663261,3,1,0.577350269189626,1.59404888416578,0.920850962447954
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",90,3,479.333333333333,39.1677304820066,3,2.33333333333333,0.333333333333333,4.86787204450626,0.801133522422949
"221104","KNT-Op47-23","Op47","B36","hH3-K4R",120,3,492.666666666667,32.3333333333333,3,2.33333333333333,1.33333333333333,4.7361299052774,2.72415097705048
"221104","KNT-Op51-32","Op51","B36","set-1 KO",0,3,624.666666666667,7.83865067753656,3,0,0,0,NA
"221104","KNT-Op51-32","Op51","B36","set-1 KO",60,3,576,6.11010092660779,3,0.666666666666667,0.333333333333333,1.15740740740741,0.578833927153907
"221104","KNT-Op51-32","Op51","B36","set-1 KO",90,3,519,9.86576572463249,3,2,0,3.85356454720617,0.0732531118063305
"221104","KNT-Op51-32","Op51","B36","set-1 KO",120,3,452.333333333333,13.8604152575279,3,3.33333333333333,1.76383420737639,7.36919675755343,3.90594494760275
